id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
436558,"Сыр Mlekara Sabac Каймак мягкий сливочный 70%, 2кг",https://online.metro-cc.ru/products/kajmak-sabao-ad-70-2kg-bzmzh,1 648,нет скидки,MLEKARA SABAC
110261,"Сыр Unagrande Моцарелла безлактозный мягкий 45%, 125г",https://online.metro-cc.ru/products/syr-mocarella-bezlaktoznyj-unagrande-45-125g-bzmzh,189,нет скидки,UNAGRANDE
134938,"Сыр плавленый Hochland с ветчиной 50%, 140г",https://online.metro-cc.ru/products/plavlennyj-hochland-s-vetchinoj-50-140g-bzmzh,125,94,HOCHLAND
106716,"Сыр творожный Виолетта шоколадный 50%, 140г",https://online.metro-cc.ru/products/violetta-50-shokoladnyj-140g,107,89,ВИОЛЕТТА
227461,"Сыр Schonfeld Маасдам полутвердый кусок 45%, 200г",https://online.metro-cc.ru/products/syr-schonfeld-maasdam-45-200g,293,нет скидки,SCHONFELD
215072,"aro Продукт молокосодержащий Гауда 45%, ~2.6кг",https://online.metro-cc.ru/products/26-kg-molokosoderzhaschiy-produkt-gauda-45-aro,499,нет скидки,ARO
204106,"Сыр Viola российский кусок 50%, 220г",https://online.metro-cc.ru/products/220g-syr-50-viola-rossiyskiy-kusok-bzmzh,289,нет скидки,VIOLA
221579,"METRO Chef Сыр чеддар швейцарский 50%, 200г",https://online.metro-cc.ru/products/200g-syr-cheddar-50-metro-chef-shveytsarskiy-bzmzh,479,нет скидки,METRO CHEF
643743,"Сыр Kesidis Dairy Фета со специями, 200г",https://online.metro-cc.ru/products/kesidis-dairy-so-speciyami-200g-bzmzh,175,нет скидки,KESIDIS DAIRY
44242,"Сыр Mlekara Sabac Mediteraneo Брынза с морской солью 25%, 250г",https://online.metro-cc.ru/products/mediteraneo-morskaya-sol-25-250g-bzmzh,196,нет скидки,MLEKARA SABAC
228619,"Сыр Schonfeld Гауда полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-gauda-45-schonfeld-narezka-bzmzh,164,нет скидки,SCHONFELD
121042,"Сыр Schonfeld Пармезан твердый нарезка 50%, 125г",https://online.metro-cc.ru/products/125g-50-parmezan-schonfeld-bzmzh,237,нет скидки,SCHONFELD
134944,"Сыр плавленый Hochland с грибами 55%, 200г",https://online.metro-cc.ru/products/plavlennyj-hochland-s-gribami-55-200g-bzmzh,169,нет скидки,HOCHLAND
227594,"Сыр Laplandia Эдам 45%, 180г",https://online.metro-cc.ru/products/180g-syr-edam-45-laplandia-kusok-bzmzh,299,219,LAPLANDIA
576012,"Сыр плавленый Viola сливочный, 140г",https://online.metro-cc.ru/products/viola-slivochnyj-140g-bzmzh,111,нет скидки,VIOLA
211633,"Сыр Кабош Perla Di Latte Intensiva 50%, 180г",https://online.metro-cc.ru/products/180g-syr-50-kabosh-perla-di-latte-intensiva-bzmzh,389,259,КАБОШ
353268,"Сыр Предгорье Кавказа Балыковый копченый 45%, 130г",https://online.metro-cc.ru/products/balykovyj-kopchenyj-predgorye-kavkaza-130g-bzmzh,217,нет скидки,ПРЕДГОРЬЕ КАВКАЗА
146506,"Сыр Киприно Мастер полутвердый 50%, ~1.5кг",https://online.metro-cc.ru/products/master-kiprino-15kg-bzmzh,979,нет скидки,КИПРИНО
116245,"Тарелка сырная Cheese Gallery Gourmet, 205г",https://online.metro-cc.ru/products/gourmet-cheese-gallery-205g-bzmzh,689,нет скидки,CHEESE GALLERY
